sample,Dab,eDab,Dad,eDad,GCLab,eGCLab,GCLad,eGCLad,GCWab,eGCWab,GCWad,eGCWad,d13Cp,ed13Cp,d13Ca,ed13Ca,CO2_0,A0,eA0,CiCa0,eCiCa0,gb,egb,s1,es1,s2,es2,s3,es3,s4,es4,s5,es5,fixed_A
G. biloba,6.94E+07,1.60E+05,0.00E+00,0.00E+00,1.32E-05,2.97E-07,0.00E+00,0.00E+00,1.80E-05,1.50E-07,0.00E+00,0.00E+00,-26.85,0.07,-8.5,0.1,397,5.85,0.09,0.65,0.0325,2,0.1,1,0,1,0.05,0.6,0.025,0.2,0.01,0.013,0.00065,no
"G. biloba, fixed A",6.94E+07,1.60E+05,0.00E+00,0.00E+00,1.32E-05,2.97E-07,0.00E+00,0.00E+00,1.80E-05,1.50E-07,0.00E+00,0.00E+00,-26.85,0.07,-8.5,0.1,397,5.85,0.09,0.65,0.0325,2,0.1,1,0,1,0.05,0.6,0.025,0.2,0.01,0.013,0.00065,yes
